TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,7808,7808,7808,7808,0,0,0,0,0,0,0,0
2,0,0,0,0,7808,7808,7808,7808,0,0,0,0
3,0,0,0,0,0,0,0,0,7808,7808,7808,7808
4,7808,7808,7808,7808,0,0,0,0,0,0,0,0
5,0,0,0,0,7808,7808,7808,7808,0,0,0,0
6,0,0,0,0,0,0,0,0,7808,7808,7808,7808
7,7808,7808,7808,7808,0,0,0,0,0,0,0,0
8,0,0,0,0,7808,7808,7808,7808,0,0,0,0
9,0,0,0,0,0,0,0,0,7808,7808,7808,7808
10,7808,7808,7808,7808,0,0,0,0,0,0,0,0
11,0,0,0,0,7808,7808,7808,7808,0,0,0,0
12,0,0,0,0,0,0,0,0,7808,7808,7808,7808
13,7808,7808,7808,7808,0,0,0,0,0,0,0,0
14,0,0,0,0,7808,7808,7808,7808,0,0,0,0
15,0,0,0,0,0,0,0,0,7808,7808,7808,7808
16,7808,7808,7808,7808,0,0,0,0,0,0,0,0
17,0,0,0,0,7808,7808,7808,7808,0,0,0,0
18,0,0,0,0,0,0,0,0,7808,7808,7808,7808
19,7808,7808,7808,7808,0,0,0,0,0,0,0,0
20,0,0,0,0,7808,7808,7808,7808,0,0,0,0
21,0,0,0,0,0,0,0,0,7808,9224,9224,9224
22,7808,7808,7808,7808,0,0,0,0,0,0,0,0
23,0,0,0,0,7808,0,0,0,0,9224,9224,9224
24,0,0,0,0,0,7808,7808,7808,7808,0,0,0
25,7808,7808,7808,7808,0,0,0,0,0,0,0,0
26,0,0,0,0,7808,0,0,0,0,9224,9224,9224
27,0,0,0,0,0,7808,7808,7808,7808,0,0,0
28,7808,7808,7808,7808,0,0,0,0,0,0,0,0
29,0,0,0,0,7808,0,0,0,0,9224,9224,9224
30,0,0,0,0,0,7808,7808,7808,7808,0,0,0
31,7808,7808,7808,0,9224,0,0,0,0,0,0,0
32,0,0,0,7808,0,0,0,0,0,9224,9224,9224
33,0,0,0,0,0,9224,9224,9224,9224,0,0,0
34,7808,7808,7808,0,9224,0,0,0,0,0,0,0
35,0,0,0,7808,0,0,0,0,0,9224,9224,9224
36,0,0,0,0,0,9224,9224,9224,9224,0,0,0
37,7808,7808,7808,0,9224,0,0,0,0,0,0,0
38,0,0,0,7808,0,0,0,0,0,9224,9224,9224
39,0,0,0,0,0,9224,9224,9224,9224,0,0,0
40,7808,7808,7808,0,9224,0,0,0,0,0,0,0
41,0,0,0,9224,0,0,0,0,0,11016,11016,11016
42,0,0,0,0,0,9224,9224,9224,9224,0,0,0
43,0,0,9224,0,0,0,0,0,0,11016,11016,11016
44,7808,7808,0,9224,9224,0,0,0,0,0,0,0
45,0,0,0,0,0,9224,9224,9224,9224,0,0,0
46,0,0,9224,0,0,0,0,0,0,11016,11016,11016
47,7808,7808,0,9224,9224,0,0,0,0,0,0,0
48,0,0,0,0,0,9224,9224,9224,9224,0,0,0
49,0,0,9224,0,0,0,0,0,0,11016,11016,11016
50,7808,7808,0,9224,9224,0,0,0,0,0,0,0
51,0,0,0,0,0,9224,11016,11016,11016,0,0,0
52,0,0,9224,0,0,0,0,0,0,11016,11016,11016
53,0,9224,0,0,0,0,11016,11016,11016,0,0,0
54,7808,0,0,9224,9224,9224,0,0,0,0,0,0
55,0,0,9224,0,0,0,0,0,0,11016,11016,11016
56,0,9224,0,0,0,0,11016,11016,11016,0,0,0
57,7808,0,0,9224,9224,9224,0,0,0,0,0,0
58,0,0,9224,0,0,0,0,0,0,11016,11016,11016
59,0,9224,0,0,0,0,11016,11016,11016,0,0,0
60,0,0,0,9224,9224,9224,0,0,0,11016,0,0
61,9224,0,9224,0,0,0,0,0,0,0,13064,13064
62,0,0,0,0,0,0,11016,11016,11016,13064,0,0
63,0,9224,0,0,0,11016,0,0,0,0,13064,13064
64,9224,0,0,9224,9224,0,0,0,0,13064,0,0
65,0,0,9224,0,0,0,11016,11016,11016,0,0,0
66,0,9224,0,0,0,11016,0,0,0,0,13064,13064
67,9224,0,0,9224,9224,0,0,0,0,13064,0,0
68,0,0,9224,0,0,0,11016,11016,11016,0,0,0
69,0,9224,0,0,0,11016,0,0,0,0,13064,13064
70,9224,0,0,9224,9224,0,0,0,0,13064,0,0
71,0,0,0,0,0,0,11016,13064,13064,0,13064,0
72,0,0,9224,0,11016,11016,0,0,0,0,0,13064
73,0,9224,0,11016,0,0,0,13064,0,13064,0,0
74,9224,0,0,0,0,0,11016,0,13064,0,13064,0
75,0,0,9224,0,11016,11016,0,0,0,0,0,13064
76,0,0,0,11016,0,0,0,13064,13064,13064,0,0
77,0,9224,0,0,0,0,11016,0,0,0,13064,13064
78,9224,0,0,0,11016,11016,0,0,0,13064,0,0
79,0,0,9224,11016,0,0,0,13064,13064,0,0,0
80,0,9224,0,0,0,0,11016,0,0,0,13064,13064
81,0,0,11016,0,11016,11016,0,0,0,13064,0,0
82,9224,0,0,0,0,0,0,13064,0,0,15112,15112
83,0,9224,0,11016,0,0,13064,0,13064,0,0,0
84,0,0,11016,0,0,0,0,0,0,13064,15112,15112
85,0,0,0,0,11016,11016,0,13064,13064,0,0,0
86,9224,0,0,11016,0,0,13064,0,0,0,15112,0
87,0,9224,11016,0,0,0,0,0,0,13064,0,15112
88,0,0,0,0,11016,11016,0,13064,13064,0,0,0
89,9224,0,0,11016,0,0,13064,0,0,0,15112,0
90,0,9224,11016,0,0,0,0,0,0,13064,0,15112
91,0,0,0,0,11016,13064,0,13064,15112,0,0,0
92,0,0,0,0,0,0,13064,0,0,15112,15112,15112
93,9224,0,0,11016,0,13064,0,0,15112,0,0,0
